Categoría: Todas las categorías

Mes,cáncer de mama: (México)
2012-01,7
2012-02,11
2012-03,9
2012-04,4
2012-05,13
2012-06,9
2012-07,7
2012-08,7
2012-09,12
2012-10,38
2012-11,6
2012-12,8
2013-01,8
2013-02,16
2013-03,6
2013-04,6
2013-05,8
2013-06,11
2013-07,1
2013-08,12
2013-09,14
2013-10,33
2013-11,9
2013-12,11
2014-01,11
2014-02,14
2014-03,13
2014-04,10
2014-05,14
2014-06,7
2014-07,4
2014-08,11
2014-09,15
2014-10,56
2014-11,11
2014-12,12
2015-01,12
2015-02,11
2015-03,14
2015-04,18
2015-05,10
2015-06,13
2015-07,11
2015-08,15
2015-09,15
2015-10,73
2015-11,18
2015-12,14
2016-01,7
2016-02,15
2016-03,7
2016-04,10
2016-05,8
2016-06,11
2016-07,15
2016-08,8
2016-09,19
2016-10,54
2016-11,17
2016-12,7
2017-01,13
2017-02,8
2017-03,15
2017-04,9
2017-05,10
2017-06,13
2017-07,13
2017-08,9
2017-09,19
2017-10,65
2017-11,18
2017-12,10
2018-01,13
2018-02,11
2018-03,15
2018-04,14
2018-05,12
2018-06,16
2018-07,11
2018-08,12
2018-09,24
2018-10,94
2018-11,32
2018-12,10
2019-01,16
2019-02,16
2019-03,17
2019-04,27
2019-05,26
2019-06,17
2019-07,21
2019-08,31
2019-09,31
2019-10,100
2019-11,37
2019-12,15
2020-01,26
