Categoría: Todas las categorías

Mes,Cáncer de mama: (México)
2012-01,17
2012-02,19
2012-03,22
2012-04,16
2012-05,21
2012-06,17
2012-07,14
2012-08,14
2012-09,22
2012-10,74
2012-11,28
2012-12,16
2013-01,19
2013-02,17
2013-03,21
2013-04,22
2013-05,22
2013-06,16
2013-07,13
2013-08,18
2013-09,20
2013-10,76
2013-11,25
2013-12,13
2014-01,15
2014-02,17
2014-03,29
2014-04,19
2014-05,23
2014-06,16
2014-07,14
2014-08,17
2014-09,25
2014-10,95
2014-11,29
2014-12,20
2015-01,18
2015-02,23
2015-03,23
2015-04,23
2015-05,21
2015-06,21
2015-07,18
2015-08,18
2015-09,23
2015-10,98
2015-11,32
2015-12,14
2016-01,19
2016-02,21
2016-03,22
2016-04,24
2016-05,24
2016-06,24
2016-07,33
2016-08,20
2016-09,28
2016-10,96
2016-11,32
2016-12,16
2017-01,18
2017-02,21
2017-03,27
2017-04,20
2017-05,25
2017-06,21
2017-07,17
2017-08,18
2017-09,21
2017-10,83
2017-11,30
2017-12,15
2018-01,20
2018-02,21
2018-03,20
2018-04,21
2018-05,25
2018-06,19
2018-07,18
2018-08,20
2018-09,28
2018-10,100
2018-11,30
2018-12,18
2019-01,18
2019-02,23
2019-03,26
2019-04,22
2019-05,23
2019-06,23
2019-07,20
2019-08,21
2019-09,31
2019-10,97
2019-11,32
2019-12,19
2020-01,20
