Categoría: Todas las categorías

Ciudad,Cáncer de mama: (1/1/12 - 1/1/20)
Reynosa,
Zacatecas,100
Gómez Palacio,
Ixtapaluca,97
Tapachula de Córdova y Ordoñez,
Tulancingo,
Matamoros,94
Chilpancingo de los Bravo,
Ciudad Victoria,93
Altamira,92
Culiacán Rosales,92
La Paz,
Toluca de Lerdo,90
Acapulco,90
Tuxtla Gutiérrez,90
Tepic,89
Nuevo Laredo,88
Villahermosa,88
San Nicolás de los Garza,85
San Pedro Garza García,
Mazatlán,84
Veracruz,84
Totolapa,
Hermosillo,84
Colima,81
Oaxaca,80
Ciudad General Escobedo,78
Los Mochis,78
San Francisco Coacalco,77
San Luis Potosí,77
Cuautla,
Pachuca de Soto,
Heroica Puebla de Zaragoza,77
Mexicali,76
Chalco de Díaz Covarrubias,
Monterrey,76
Durango,76
Puerto Vallarta,
Torreón,76
Tlaxcala de Xicohténcatl,
Ecatepec de Morelos,74
Chihuahua,74
Morelos,
Coatzacoalcos,
Ciudad Juárez,72
Chimalhuacán,
Saltillo,70
Morelia,
Ciudad Obregón,70
Guadalupe,
Campeche,
Ladrillera,
Mérida,69
Ciudad de México,68
Guadalajara,68
Ojo de Agua,66
Cuernavaca,66
Tijuana,66
Ciudad López Mateos,
Aguascalientes,66
Xalapa Enríquez,65
Naucalpan de Juárez,
Playa del Carmen,
Ciudad del Carmen,
Nezahualcóyotl,64
Ensenada,64
Cuautitlán Izcalli,62
Zapopan,62
Uruapan,
San José el Alto,61
San Pedro Tlaquepaque,
Tonalá,
Irapuato,58
Cancún,57
Celaya,56
Santiago de Querétaro,56
León,56
