Categoría: Todas las categorías

Región,Cáncer de mama: (1/1/12 - 1/1/20)
Tamaulipas,100
Tabasco,95
Chiapas,95
Nayarit,95
Guerrero,94
Zacatecas,92
Sinaloa,89
Durango,88
Tlaxcala,88
Oaxaca,87
Colima,87
Veracruz,85
San Luis Potosí,84
Nuevo León,82
Hidalgo,82
Puebla,77
Yucatán,76
Campeche,76
Sonora,75
Ciudad de México,74
Estado de México,74
Chihuahua,73
Jalisco,73
Coahuila de Zaragoza,73
Baja California,72
Aguascalientes,71
Morelos,70
Michoacán,70
Guanajuato,67
Baja California Sur,65
Quintana Roo,61
Querétaro,59
