Categoría: Todas las categorías

Región,cáncer de mama: (1/1/12 - 1/1/20)
Zacatecas,100
Oaxaca,79
Guerrero,75
Colima,71
Estado de México,69
Morelos,69
Tamaulipas,68
Tabasco,67
Veracruz,67
Durango,67
Yucatán,64
Chiapas,61
Michoacán,59
Puebla,56
Querétaro,53
San Luis Potosí,52
Jalisco,52
Ciudad de México,51
Tlaxcala,51
Sinaloa,50
Chihuahua,50
Quintana Roo,49
Hidalgo,48
Campeche,48
Guanajuato,47
Aguascalientes,43
Coahuila de Zaragoza,41
Nuevo León,41
Sonora,38
Baja California Sur,38
Nayarit,31
Baja California,25
