"",,,,,,Grupos de edad,,,,,,
Estado,,,,,,,,,,,,Incidencia*
"",< 1,1 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 44,45 - 49,50 - 59,60 - 64,65 y +,
Aguascalientes,N.A.,N.A.,N.A.,0.00,0.00,10.04,40.62,313.00,178.87,226.30,114.59,74.37
Baja California,N.A.,N.A.,N.A.,0.00,0.63,0.00,12.17,47.78,60.02,84.23,46.65,21.17
Baja California Sur,N.A.,N.A.,N.A.,0.00,0.00,2.99,10.59,31.42,56.34,47.86,83.50,19.55
Campeche,N.A.,N.A.,N.A.,0.00,0.00,2.39,39.00,171.34,217.39,353.43,176.49,77.14
Coahuila,N.A.,N.A.,N.A.,0.00,0.00,1.56,17.10,31.04,71.47,81.91,40.33,23.53
Colima,N.A.,N.A.,N.A.,0.00,0.00,6.25,46.84,233.48,198.33,218.52,163.75,80.46
Chiapas,N.A.,N.A.,N.A.,0.00,0.00,0.00,1.79,7.45,12.33,14.89,13.87,3.65
Chihuahua,N.A.,N.A.,N.A.,0.00,0.60,1.89,21.20,64.28,74.56,112.02,80.08,32.68
Distrito Federal,N.A.,N.A.,N.A.,0.00,0.30,1.96,12.54,41.12,51.97,57.17,57.01,24.84
Durango,N.A.,N.A.,N.A.,0.00,0.00,0.00,20.21,71.22,114.68,60.76,105.28,36.20
Guanajuato,N.A.,N.A.,N.A.,0.00,0.35,1.81,8.08,34.82,25.75,46.79,23.84,11.98
Guerrero,N.A.,N.A.,N.A.,1.08,0.54,1.16,3.38,9.53,14.67,18.09,11.53,5.32
Hidalgo,N.A.,N.A.,N.A.,0.00,0.00,2.34,6.94,25.74,33.04,26.98,30.07,12.09
Jalisco,N.A.,N.A.,N.A.,0.00,0.84,1.98,23.09,85.96,82.55,119.50,69.30,35.23
México,N.A.,N.A.,N.A.,0.00,0.13,0.95,5.41,29.37,29.23,48.45,33.47,12.22
Michoacán,N.A.,N.A.,N.A.,0.47,0.00,0.46,14.75,49.30,50.16,56.66,41.45,20.26
Morelos,N.A.,N.A.,N.A.,0.00,1.18,10.38,13.75,40.79,50.19,82.65,61.63,24.55
Nayarit,N.A.,N.A.,N.A.,0.00,0.00,0.00,19.57,31.73,57.37,85.14,67.03,25.10
Nuevo León,N.A.,N.A.,N.A.,0.00,1.86,0.47,12.81,34.53,51.64,68.69,49.33,20.87
Oaxaca,N.A.,N.A.,N.A.,0.51,0.00,0.53,9.58,19.56,34.93,32.33,39.80,13.78
Puebla,N.A.,N.A.,N.A.,0.00,0.00,10.26,11.58,94.79,57.31,56.61,92.15,28.10
Querétaro,N.A.,N.A.,N.A.,0.00,0.00,0.00,17.81,65.00,74.40,81.43,66.43,27.03
Quintana Roo,N.A.,N.A.,N.A.,0.00,0.00,1.36,21.15,53.42,44.70,52.39,80.13,22.29
San Luis Potosí,N.A.,N.A.,N.A.,0.00,0.00,0.00,16.51,77.98,82.41,105.40,84.14,32.23
Sinaloa,N.A.,N.A.,N.A.,0.75,2.21,4.63,32.01,72.38,90.67,116.08,75.69,39.84
Sonora,N.A.,N.A.,N.A.,0.00,0.00,0.80,9.67,29.89,42.17,42.79,35.33,15.49
Tabasco,N.A.,N.A.,N.A.,0.00,0.00,0.92,3.92,18.24,28.48,42.56,22.49,9.05
Tamaulipas,N.A.,N.A.,N.A.,0.00,1.96,2.67,10.43,41.29,57.67,104.96,48.16,22.73
Tlaxcala,N.A.,N.A.,N.A.,0.00,0.00,1.71,5.46,10.48,19.54,15.84,11.71,6.51
Veracruz,N.A.,N.A.,N.A.,0.00,0.00,1.40,17.08,60.69,70.41,70.33,53.14,27.41
Yucatán,N.A.,N.A.,N.A.,0.00,0.00,1.05,8.46,40.00,56.62,48.27,53.53,19.35
Zacatecas,N.A.,N.A.,N.A.,0.00,0.00,0.00,6.34,30.36,32.91,28.47,22.08,11.03
TOTAL GLOBAL,N.A.,N.A.,N.A.,0.09,0.36,2.00,12.90,49.60,54.20,68.05,51.94,21.96
