Entidad Federativa,Año,Producto Interno Bruto                       (Miles de pesos),"Gasto Total en Salud
(I.1 + I.2)","I.1 Gasto Público Total en Salud
(Miles de pesos)
(1 + 2)","1. Gasto Total 
(A+B+C+D+E+F) con SS","A. Advo. Secretaria de Salud
(Ramo 12)",B. FASSA (Ramo 33),"C. IMSS 
Prospera","D. SEDENA
(Ramo 7)","E. SEMAR
(Ramo 13)","F. Gasto 
Estatal","2. Gasto Total
(A+B+C+D+E) sin SS",A. IMSS,B. ISSSTE,C. PEMEX,D. ISSFAM,E. ISSES,"I.2 Gasto Privado Total en Salud
(Miles de pesos constantes)
(A + B + C)",A. Gasto de los Hogares e ISFL,B. Cuotas de Recuperación,C. Pago de Primas,Gasto  público total en salud como % del PIB,Gasto total en salud como % del PIB,Gasto público total en salud como % del gasto total en salud,Gasto público total en salud como % del gasto público total,Gasto público en salud per cápita para población con seguridad social,Gasto público en salud per cápita para población sin seguridad social ,Gasto público en salud per cápita total,Aportación federal al financiamiento de la salud de la población sin seguridad social (%),Gasto privado en salud per cápita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estados Unidos Mexicanos,1993,8767897790.20,488075321.91,219376606.70,42489885.47,42489885.47,n.d.,n.d.,n.d.,n.d.,n.d.,176886721.23,154338382.55,17271655.41,5276683.27,n.d.,n.d.,268698715.21,259673551.67,n.d.,9025163.54,2.5,5.6,44.9,n.d.,n.d.,n.d.,2394.92,n.d.,2933.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aguascalientes,1993,79378248.64,n.d.,1869821.27,244488.47,244488.47,n.d.,n.d.,n.d.,n.d.,n.d.,1625332.80,1577068.03,48264.77,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.4,n.d.,n.d.,n.d.,n.d.,n.d.,2117.59,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California,1993,226020985.90,n.d.,5909306.37,524751.50,524751.50,n.d.,n.d.,n.d.,n.d.,n.d.,5384554.86,5251835.46,132719.40,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.6,n.d.,n.d.,n.d.,n.d.,n.d.,2990.13,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baja California Sur,1993,43085575.37,n.d.,1674914.65,312689.42,312689.42,n.d.,n.d.,n.d.,n.d.,n.d.,1362225.23,1267035.79,95189.44,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.9,n.d.,n.d.,n.d.,n.d.,n.d.,4460.08,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Campeche,1993,95593767.52,n.d.,1568642.11,306722.46,306722.46,n.d.,n.d.,n.d.,n.d.,n.d.,1261919.65,1001345.72,52934.21,207639.73,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,1.6,n.d.,n.d.,n.d.,n.d.,n.d.,2617.30,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coahuila de Zaragoza,1993,235635140.21,n.d.,6770310.83,511476.07,511476.07,n.d.,n.d.,n.d.,n.d.,n.d.,6258834.76,6077103.75,181731.00,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.9,n.d.,n.d.,n.d.,n.d.,n.d.,3194.57,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima,1993,44378010.36,n.d.,1301759.20,260412.70,260412.70,n.d.,n.d.,n.d.,n.d.,n.d.,1041346.50,998819.06,42527.44,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.9,n.d.,n.d.,n.d.,n.d.,n.d.,2598.94,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiapas,1993,144092144.68,n.d.,3902433.38,1836210.43,1836210.43,n.d.,n.d.,n.d.,n.d.,n.d.,2066222.95,1909951.88,118773.92,37497.16,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.7,n.d.,n.d.,n.d.,n.d.,n.d.,1096.34,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chihuahua,1993,315664192.02,n.d.,7125780.36,767723.98,767723.98,n.d.,n.d.,n.d.,n.d.,n.d.,6358056.38,6166583.78,173578.69,17893.91,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,2.3,n.d.,n.d.,n.d.,n.d.,n.d.,2763.06,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distrito Federal,1993,1917099169.30,n.d.,56760400.31,1967919.16,1967919.16,n.d.,n.d.,n.d.,n.d.,n.d.,54792481.15,39702888.33,13722341.49,1367251.33,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,3.0,n.d.,n.d.,n.d.,n.d.,n.d.,6448.74,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
